data,n,p,method,acc,sens,spec,auc,non-zeros
simulate10_10_5_6_data.csv,1000,20,CD_Med,0.608,0.6116700201207244,0.6043737574552683,0.6547975727126176,21
simulate10_0_0_6_data.csv,1000,10,CD_Med,0.601,0.6182902584493042,0.5835010060362174,0.6394870215327751,11
simulate10_0_0_7_data.csv,1000,10,CD_Med,0.54,0.5592885375494071,0.520242914979757,0.5599726360595926,11
simulate0_10_5_3_data.csv,1000,10,CD_Med,0.753,0.6569200779727096,0.8542094455852156,0.8440145538383947,11
simulate0_10_5_2_data.csv,1000,10,CD_Med,0.759,0.707843137254902,0.8122448979591836,0.8404481792717088,11
simulate10_10_3_3_data.csv,1000,20,CD_Med,0.587,0.5454545454545454,0.625968992248062,0.6076061887372669,21
simulate10_10_3_2_data.csv,1000,20,CD_Med,0.652,0.6796875,0.6229508196721312,0.7093745997694673,21
simulate0_10_3_7_data.csv,1000,10,CD_Med,0.853,0.8266932270916335,0.8795180722891566,0.9024984399750395,11
simulate0_10_3_6_data.csv,1000,10,CD_Med,0.684,0.610204081632653,0.7549019607843137,0.7850900360144057,11
simulate50_50_5_10_data.csv,1000,100,CD_Med,0.658,0.6713147410358565,0.6445783132530121,0.7199735195763132,101
simulate10_0_10_4_data.csv,1000,10,CD_Med,0.543,0.48218029350104824,0.5984703632887189,0.5845248545923174,11
simulate10_0_10_5_data.csv,1000,10,CD_Med,0.578,0.4697286012526096,0.6775431861804223,0.6123241397825764,11
simulate0_10_5_9_data.csv,1000,10,CD_Med,0.714,0.8032128514056225,0.6254980079681275,0.8359733755740091,11
simulate0_10_5_8_data.csv,1000,10,CD_Med,0.55,0.5180467091295117,0.5784499054820416,0.6878920689198464,11
simulate5_5_3_4_data.csv,1000,10,CD_Med,0.534,0.38414634146341464,0.6791338582677166,0.6504385122591383,11
simulate5_5_3_5_data.csv,1000,10,CD_Med,0.605,0.7,0.5020833333333333,0.6304627403846155,11
simulate10_10_3_9_data.csv,1000,20,CD_Med,0.604,0.6305609284332688,0.5755693581780539,0.6502076400318768,21
simulate10_10_3_8_data.csv,1000,20,CD_Med,0.591,0.5796812749003984,0.6024096385542169,0.6238819821117138,21
simulate5_5_5_1_data.csv,1000,10,CD_Med,0.58,0.6125244618395304,0.5460122699386503,0.5977092912969877,11
simulate50_50_10_1_data.csv,1000,100,CD_Med,0.642,0.6265306122448979,0.6568627450980392,0.6962685074029611,101
simulate0_10_10_2_data.csv,1000,10,CD_Med,0.65,0.6257796257796258,0.6724470134874759,0.6714936368115559,11
simulate0_10_10_3_data.csv,1000,10,CD_Med,0.705,0.6679611650485436,0.7443298969072165,0.7652707436693024,11
simulate0_10_0_9_data.csv,1000,10,CD_Med,0.84,0.7712031558185405,0.9107505070993914,0.9294161655684514,11
simulate50_50_0_10_data.csv,1000,100,CD_Med,0.684,0.6714579055441479,0.695906432748538,0.7498448951491208,101
simulate0_10_0_8_data.csv,1000,10,CD_Med,0.838,0.7286527514231499,0.959830866807611,0.9017815951314032,11
simulate10_10_10_7_data.csv,1000,20,CD_Med,0.596,0.5534591194968553,0.6347992351816444,0.6297385267225448,21
simulate10_10_10_6_data.csv,1000,20,CD_Med,0.594,0.6155378486055777,0.572289156626506,0.6252100033600537,21
simulate50_50_3_9_data.csv,1000,100,CD_Med,0.622,0.622,0.622,0.6757,101
simulate50_50_3_8_data.csv,1000,100,CD_Med,0.64,0.6679611650485436,0.6103092783505155,0.6761104994495046,101
simulate5_5_0_1_data.csv,1000,10,CD_Med,0.545,0.6711026615969582,0.4050632911392405,0.6104707128074313,11
simulate10_0_3_8_data.csv,1000,10,CD_Med,0.598,0.5284552845528455,0.6653543307086615,0.6186083637411177,11
simulate10_0_3_9_data.csv,1000,10,CD_Med,0.537,0.4757085020242915,0.5968379446640316,0.5548298955049528,11
simulate0_10_0_3_data.csv,1000,10,CD_Med,0.854,0.8426103646833013,0.8663883089770354,0.9008090271238464,11
simulate0_10_0_2_data.csv,1000,10,CD_Med,0.842,0.7490196078431373,0.9387755102040817,0.9126030412164865,11
simulate10_0_5_6_data.csv,1000,10,CD_Med,0.579,0.5685884691848907,0.5895372233400402,0.6236384509842354,11
simulate10_0_5_7_data.csv,1000,10,CD_Med,0.598,0.6132264529058116,0.5828343313373253,0.6433105732422929,11
simulate0_10_10_8_data.csv,1000,10,CD_Med,0.605,0.5956607495069034,0.6146044624746451,0.6587131077691226,11
simulate10_10_0_7_data.csv,1000,20,CD_Med,0.585,0.6298449612403101,0.5371900826446281,0.6198006758921135,21
simulate0_10_10_9_data.csv,1000,10,CD_Med,0.602,0.6573705179282868,0.5461847389558233,0.6671806748907982,11
simulate10_10_0_6_data.csv,1000,20,CD_Med,0.584,0.5849802371541502,0.582995951417004,0.609699796770735,21
simulate5_5_5_10_data.csv,1000,10,CD_Med,0.642,0.6530612244897959,0.6313725490196078,0.6886994797919167,11
simulate50_50_5_7_data.csv,1000,100,CD_Med,0.608,0.604040404040404,0.6118811881188119,0.6431483148314832,101
simulate50_50_5_6_data.csv,1000,100,CD_Med,0.675,0.659919028340081,0.6897233201581028,0.7284909026899875,101
simulate10_10_3_10_data.csv,1000,20,CD_Med,0.591,0.6640625,0.514344262295082,0.6342213114754098,21
simulate10_0_3_2_data.csv,1000,10,CD_Med,0.576,0.5458248472505092,0.6051080550098232,0.5975716132026777,11
simulate10_0_3_3_data.csv,1000,10,CD_Med,0.526,0.5030674846625767,0.547945205479452,0.5803328811144594,11
simulate50_50_3_3_data.csv,1000,100,CD_Med,0.62,0.655511811023622,0.5833333333333334,0.6656344024070162,101
simulate50_50_3_2_data.csv,1000,100,CD_Med,0.639,0.6381709741550696,0.6398390342052314,0.691260885391874,101
