data, n, p, method, acc, sens, spec, auc, lambda0, non-zeros, med_abs, max_abs, time 
sim_50_9_3_5_1_data.csv,50,14,FR,0.5384615384615384,0.6666666666666666,0.42857142857142855,0.6428571428571429,0,11,5.805555555555555,10.555555555555555,1.1662766933441162
sim_50_9_3_5_1_data.csv,50,14,LR,0.5384615384615384,0.6666666666666666,0.42857142857142855,0.5714285714285714,0,14,40.5709252957602,80.24057476724057,0.0049588680267333984
sim_50_9_3_5_1_data.csv,50,14,Round,0.5384615384615384,0.6666666666666666,0.42857142857142855,0.6071428571428572,0,13,40.5,80.0,0.004962921142578125
sim_50_9_3_5_1_data.csv,50,14,NLLCD,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.6666666666666667,0,13,4.0,10.0,0.062233924865722656
sim_20_7_1_0_9_data.csv,20,10,FR,0.6,1.0,0.5,0.5,0,5,5.135135135135135,10.27027027027027,0.23745989799499512
sim_20_7_1_0_9_data.csv,20,10,LR,0.4,1.0,0.25,0.25,0,9,17.59035781491658,25.693533659398078,0.0011148452758789062
sim_20_7_1_0_9_data.csv,20,10,Round,0.4,1.0,0.25,0.25,0,9,18.0,26.0,0.0011191368103027344
sim_20_7_1_0_9_data.csv,20,10,NLLCD,0.4,1.0,0.25,0.5,0,8,7.0,10.0,0.02209758758544922
sim_20_7_1_0_8_data.csv,20,10,FR,1.0,1.0,1.0,1.0,0,6,3.081081081081081,10.27027027027027,0.07303714752197266
sim_20_7_1_0_8_data.csv,20,10,LR,1.0,1.0,1.0,1.0,0,9,15.712647205169691,67.13367974107302,0.0012049674987792969
sim_20_7_1_0_8_data.csv,20,10,Round,1.0,1.0,1.0,1.0,0,9,16.0,67.0,0.0012102127075195312
sim_20_7_1_0_8_data.csv,20,10,NLLCD,0.8,0.6666666666666666,1.0,0.6666666666666666,0,9,3.0,10.0,0.029577970504760742
sim_20_8_3_3_2_data.csv,20,12,FR,0.8,0.6666666666666666,1.0,1.0,0,8,3.3529411764705883,10.058823529411764,0.4408719539642334
sim_20_8_3_3_2_data.csv,20,12,LR,0.6,0.3333333333333333,1.0,0.8333333333333333,0,11,12.021659169082945,41.86138582062007,0.0009307861328125
sim_20_8_3_3_2_data.csv,20,12,Round,0.6,0.3333333333333333,1.0,0.8333333333333333,0,11,12.0,42.0,0.000934600830078125
sim_20_8_3_3_2_data.csv,20,12,NLLCD,0.6,0.6666666666666666,0.5,0.8333333333333333,0,10,5.0,10.0,0.03284001350402832
sim_50_6_5_0_1_data.csv,50,8,FR,0.6923076923076923,0.75,0.6666666666666666,0.8055555555555556,0,7,2.371869153140633,9.487476612562533,0.22506022453308105
sim_50_6_5_0_1_data.csv,50,8,LR,0.7692307692307693,1.0,0.6666666666666666,0.875,0,8,5.809273186650709,33.54596369217465,0.0012450218200683594
sim_50_6_5_0_1_data.csv,50,8,Round,0.7692307692307693,1.0,0.6666666666666666,0.8472222222222222,0,6,6.0,34.0,0.001249074935913086
sim_50_6_5_0_1_data.csv,50,8,NLLCD,0.7692307692307693,1.0,0.6666666666666666,0.8194444444444444,0,5,5.0,10.0,0.015693187713623047
sim_100_8_5_10_10_data.csv,100,12,FR,0.68,0.5833333333333334,0.7692307692307693,0.6858974358974359,0,10,1.5242002349211452,5.080667449737151,0.498582124710083
sim_100_8_5_10_10_data.csv,100,12,LR,0.68,0.5833333333333334,0.7692307692307693,0.6826923076923077,0,12,1.3211893411470923,13.983103208831249,0.0018780231475830078
sim_100_8_5_10_10_data.csv,100,12,Round,0.64,0.75,0.5384615384615384,0.6987179487179487,0,10,1.0,14.0,0.0018820762634277344
sim_100_8_5_10_10_data.csv,100,12,NLLCD,0.64,0.5,0.7692307692307693,0.6698717948717948,0,7,1.0,10.0,0.015820980072021484
sim_20_8_3_3_3_data.csv,20,12,FR,1.0,1.0,1.0,1.0,0,8,5.277777777777778,10.555555555555555,0.21697092056274414
sim_20_8_3_3_3_data.csv,20,12,LR,1.0,1.0,1.0,1.0,0,10,21.17222113480717,41.789310666592584,0.000988006591796875
sim_20_8_3_3_3_data.csv,20,12,Round,1.0,1.0,1.0,1.0,0,10,21.0,42.0,0.0009911060333251953
sim_20_8_3_3_3_data.csv,20,12,NLLCD,1.0,1.0,1.0,1.0,0,10,5.0,10.0,0.03540611267089844
sim_20_7_2_10_5_data.csv,20,10,FR,0.6,1.0,0.3333333333333333,0.5833333333333334,0,7,2.054054054054054,10.27027027027027,0.21985101699829102
sim_20_7_2_10_5_data.csv,20,10,LR,0.4,0.5,0.3333333333333333,0.5833333333333334,0,8,7.259849200346958,28.42792479658974,0.0009958744049072266
sim_20_7_2_10_5_data.csv,20,10,Round,0.6,1.0,0.3333333333333333,0.5833333333333334,0,8,7.5,28.0,0.0009996891021728516
sim_20_7_2_10_5_data.csv,20,10,NLLCD,0.4,0.5,0.3333333333333333,0.5833333333333334,0,7,4.0,10.0,0.01636791229248047
sim_50_7_1_3_10_data.csv,50,10,FR,0.6923076923076923,0.7,0.6666666666666666,0.8166666666666668,0,8,3.9310344827586206,10.482758620689655,0.3836631774902344
sim_50_7_1_3_10_data.csv,50,10,LR,0.6923076923076923,0.7,0.6666666666666666,0.7500000000000001,0,10,23.620527165888312,84.13525403308202,0.0010559558868408203
sim_50_7_1_3_10_data.csv,50,10,Round,0.6923076923076923,0.7,0.6666666666666666,0.7500000000000001,0,10,24.0,84.0,0.0010600090026855469
sim_50_7_1_3_10_data.csv,50,10,NLLCD,0.6923076923076923,0.7,0.6666666666666666,0.7500000000000001,0,10,3.0,10.0,0.04275012016296387
