,Features,Coefs
0,Intercept,[-0.25554231]
1,age_lt_25,0.045963274538229466
2,age_25_to_30,-0.07842265560372033
3,age_30_to_40,-0.17937348858649005
4,age_40_to_50,-0.28066607227059315
5,age_50_to_60,-0.02355165598033808
6,age_ge_60,0.260508290864348
7,job_unemployed,0.23602465058514518
8,job_retired,0.16127080840596764
9,job_student,0.3053470219907227
10,job_housemaid,0.002286470938747667
11,job_management,0.08280930743380309
12,job_entrepreneur,0.0867867008252203
13,job_blue_collar,0.005697314633006045
14,job_technician,0.2342949442861311
15,job_admin,0.17753102758460576
16,job_services,0.028920972570498648
17,married,-0.1801365160137464
18,single,-0.17389048699635673
19,divorced,-0.24082869377143307
20,education_university,0.12275338063953062
21,education_highschool,-0.04995486055146944
22,education_basic4yr,-0.07173018205457567
23,education_basic6yr,0.02554731012725319
24,education_basic9yr,-0.10627729053704416
25,education_professional,-0.04362955854282143
26,credit_is_or_may_be_in_default,-0.26006675137327545
27,has_housing_loan,-0.041214726433761714
28,has_personal_loan,-0.012824859514666775
29,called_cellphone,0.1536579993290739
30,called_landline,-0.40920030636764515
31,call_in_Q1,0.7290193967323298
32,call_in_Q2,-0.5877420328891594
33,call_in_Q3,-0.321790889051408
34,call_in_Q4,-0.0750287818303096
35,call_on_mon,-0.2459005729994203
36,call_on_tue,-0.0008831019551648202
37,call_on_wed,0.04716003574322304
38,call_on_thu,0.024895127023350182
39,call_on_fri,-0.08081379485058679
40,any_prior_calls_in_campaign,-0.07896094402650733
41,mult_prior_calls_in_campaign,-0.058341204405321416
42,called_before,1.1979092624744712
43,any_prior_calls_b4_campaign,-0.13322780657053832
44,mult_prior_calls_b4_campaign,-0.03628863097984825
45,calls_b4_campaign_failed,-0.43265278444369737
46,calls_b4_campaign_successful,0.29942497787322325
47,emp_var_rate_lt_n1,-0.026096963797278376
48,emp_var_rate_gt_1,-0.30649419654792537
49,nr_employed_lt_5100,-0.026096963797278376
50,nr_employed_gt_5100,-0.2294453432413193
51,cons_price_idx_geq_93_5,0.6971017945412096
52,cons_conf_idx_leq_n40,-0.12225333192135913
53,euribor3m_geq_100,-0.4587196635546304
54,euribor3m_geq_200,-0.2294453432413193
55,euribor3m_geq_300,-0.2294453432413193
56,euribor3m_geq_400,-0.8292650600327888
57,euribor3m_geq_500,2.9181289633819105
58,Accuracy,0.896698227725176
59,Sensitivity,0.984800766808161
60,Specificity,0.20855614973262032
61,AUC,0.776304880933116
