,Features,Coefs
0,Intercept,[-23.99613936]
1,V1,1.085427385756975
2,V2,0.6102377154734379
3,V3,0.9933508363511436
4,V4,0.11690692482530249
5,V5,0.6370515040991531
6,V6,0.2929316089996902
7,V7,0.11074057315975831
8,V8,0.007327500451774341
9,V9,0.7628327040190792
10,V10,0.12955596546826528
11,V11,-0.034610320213182194
12,V12,0.69488286714103
13,V13,0.4476539542406702
14,V14,0.8134380106748083
15,V15,0.5240671884492946
16,V16,0.32730816774792
17,V17,0.8773531001195509
18,V18,0.397733086926739
19,V19,0.6848861910153411
20,V20,0.664772847613215
21,V21,0.929217685299097
22,V22,0.491399056114216
23,V23,0.12250464410100094
24,V24,2.7068411732610107
25,V25,4.189610403927837
26,V26,1.525057609790394
27,V27,3.5371597317983032
28,V28,0.09141340532515407
29,V29,2.5985621860735777
30,V30,2.6870674149529394
31,V31,4.2838849466412805
32,V32,1.434151910226345
33,V33,0.7681359709566686
34,V34,0.37309932613981756
35,V35,2.2125727977744094
36,V36,4.593871257948274
37,V37,3.299806819753077
38,V38,2.4407300419761833
39,V39,0.9585318266670545
40,V40,1.7806177604083266
41,V41,1.3751936264656188
42,Accuracy,0.872
43,Sensitivity,0.8808080808080808
44,Specificity,0.8633663366336634
45,AUC,0.954022402240224
